_source_file,time_raw,human_time,map_start_time_raw,map_end_time_raw,mod_name,consensus,extreme_99th,prob_rf,prob_et,prob_lr,prob_gb,prob_xgb,prob_lsvc,prob_csvc,prob_knn,prob_mlp,prob_gnb,view_delta_deg,view_speed_deg_per_ms,view_best_delta_deg,view_best_speed_deg_per_sec,attacker_target_distance,attacker_xy_speed,attacker_z_speed,attacker_distance_last_second,target_xy_speed,target_z_speed,target_distance_last_second,missile_lifetime,missile_pitch,target_corpse_travel_distance,target_corpse_travel_z_distance,attacker_name,target_name
15 Dan mpctf_telti 2015-11-25_22-15-59.dm_26.dm_meta,835440,0:10:15,220749,1436370,MOD_REPEATER_ALT,good,FALSE,0.5466666667,0.5033333333,0.483507869,0.6774764351,0.7111955881,-0.04304218514,0.4101926419,0.4,1,0.5744257738,0,0,0.5346177816,16.20053864,361,0,0,515,756,144,618,297,59,597,356,Dan,The North Remembers (base)
16 base mpctf_manaan 2020-05-05_23-23-35.dm_26.dm_meta,1270772,0:18:23,168275,1383896,MOD_REPEATER_ALT,good,FALSE,0.55,0.4366666667,0.7972414862,0.5943426838,0.669146359,0.4147106783,0.6056563447,0.6,1,0.9643033551,2.720985413,0.0164908208,12.15865421,368.4440613,861,43,288,242,877,709,691,693,-2,271,145,^7base,^7sometimes lag
2 chase mpctf_kejim 2019-06-29_20-24-33.dm_26.dm_meta,927176,0:15:01,26804,1242425,MOD_REPEATER_ALT_SPLASH,good,FALSE,0.5966666667,0.48,0.6427036155,0.8515170752,0.8308507204,0.1602614096,0.5098401877,0.2,0.0002088504655,0.9798500093,0,0,22.07147789,668.8326416,1220,252,55,368,522,504,620,,,224,154,^7chase,^7gengszter99
2 chase mpctf_salliche 2019-06-23_00-49-12.dm_26.dm_meta,500519,0:07:34,47429,1263050,MOD_REPEATER,good,FALSE,,,,,,,,,,,30.8638134,0.1870534122,33.60058975,1018.199707,87,78,0,457,347,313,393,33,-7,1107,1033,^7chase,^6fuck duo
2 Dan mpctf4 2015-12-12_21-03-24.dm_26.dm_meta,926351,0:09:16,371225,1586846,MOD_BRYAR_PISTOL_ALT,good,FALSE,0.6533333333,0.5933333333,0.6449618783,0.69422168,0.9546855688,0.2529337369,0.5643524212,0.8,0.9999967993,0.9518405751,0.3930588365,0.005955436733,12.07526588,365.9171448,501,425,0,428,987,308,656,396,1,939,17,Dan,Grab
2 Dan mpctf_ramodi 2015-08-29_23-34-48.dm_26.dm_meta,1152368,0:14:34,218435,1494248,MOD_ROCKET,good,FALSE,0.53,0.3866666667,0.3127113189,0.637665061,0.8958396912,-0.3739622341,0.2695051078,0.2,6.31E-25,0.1995766369,0.3845214844,0.01165216602,81.64862823,2474.200928,312,463,214,416,960,581,714,330,-20,359,169,Dan,^7S^0i^7l
2 easer mpctf_telti 2017-03-11_17-00-20.dm_26.dm_meta,743766,0:09:48,156267,1025652,MOD_BLASTER,good,FALSE,0.77,0.87,1,0.9999779321,0.9731498361,7.738536286,0.784681106,0.8,1,1,1.248399377,0.006305047311,2.128974915,64.51438904,1349,356,301,340,639,118,524,,,326,122,^7easer,^2Zn^7am^5en
2 not permaspec mpctf_kharzet 2017-02-25_15-49-47.dm_26.dm_meta,243449,0:00:39,204674,1420295,MOD_BRYAR_PISTOL_ALT,good,FALSE,0.5266666667,0.49,0.5782873347,0.6294419925,0.616795063,0.1212345806,0.5247123625,0.4,8.23E-10,0.9527603562,0,0,0,0,982,259,0,276,1095,30,751,561,3,564,128,^7not permaspec,^7????
2 x mpctf_talravin 2015-11-08_19-46-08.dm_26.dm_meta,989286,0:14:21,128250,1185339,MOD_ROCKET,good,FALSE,0.5753333333,0.4616666667,0.3018675771,0.6836595298,0.9626373649,-0.3103093461,0.3269951369,0.4,0.9998924115,0.8809264115,0,0,11.87914848,359.9742126,544,460,0,522,210,92,549,924,15,368,356,x,fay
3 the epicbestever mpctf_krildor 2017-02-26_02-16-24.dm_26.dm_meta,1157318,0:14:49,268595,1484216,MOD_ROCKET,good,FALSE,0.3986666667,0.3816666667,0.2435229896,0.5980704791,0.9747071862,-0.3763857054,0.2773657174,0.4,7.97E-05,0.04721854718,0,0,0.3930588365,11.91087437,722,199,0,257,739,298,608,924,13,2000,1628,^7the epicbestever,^2_^0Peace^2f^0ul pla^2y^0er^2.
3 x mpctf_kejim 2020-08-10_22-05-23.dm_26.dm_meta,215861,0:01:36,120029,1335650,MOD_REPEATER_ALT,good,FALSE,0.59,0.4866666667,0.6114366129,0.829243019,0.4180283248,0.07577085173,0.4840394493,0.4,1,0.9157091158,0,0,2.835238934,85.91632843,640,410,0,420,907,791,682,594,-11,411,261,^7x,^7spec din din
4 x mpctf_taspir 2020-04-06_21-59-51.dm_26.dm_meta,891280,0:11:07,225076,1440697,MOD_ROCKET,good,FALSE,0.37,0.445,0.1917209917,0.4008503672,0.5749710798,-0.4877271239,0.2433422737,0.6,1,0.4393864136,0,0,53.93912125,1634.518799,309,149,119,247,136,54,356,297,55,591,569,^7x,^4h^0annah
5  mpctf_kharzet 2019-04-03_19-04-45.dm_26.dm_meta,457718,0:05:16,142436,1685516,MOD_REPEATER,good,FALSE,,,,,,,,,,,6.21502161,0.03766679764,22.85702133,692.6370239,597,193,0,280,71,861,327,330,-3,112,19,^7Padawan,
5 Dan mpctf_emerido 2015-10-25_22-32-19.dm_26.dm_meta,567150,0:04:45,282657,1498278,MOD_ROCKET,good,FALSE,0.38,0.3366666667,0.2870270696,0.7332315378,0.6990392208,-0.2925797239,0.3166496693,0.6,0.1273906107,0.6016954229,3.115050316,0.008581405506,3.115050316,94.39546204,404,418,0,437,709,41,430,429,-4,651,375,Dan,
5 easing rapod mpctf_kejim 2016-04-21_16-33-19.dm_26.dm_meta,200553,0:00:33,167982,1595397,MOD_REPEATER_ALT,good,FALSE,0.67,0.5366666667,0.4366272897,0.8445016313,0.9560001493,-0.0108185047,0.4060653171,0.6,1,0.9494100733,0.3515625,0.003551136469,2.145683527,65.02071381,638,411,107,452,303,99,380,528,11,22,1,^7easing rapod,^7enab(steam if needed)
5 sal mpctf_dosuun 2016-01-02_00-27-22.dm_26.dm_meta,756405,0:10:13,143694,1359315,MOD_REPEATER_ALT,good,FALSE,0.5966666667,0.6266666667,0.303854629,0.6891348842,0.6715835333,-0.1682643959,0.366395907,0.6,0.9999999995,0.9467810696,0.4559326172,0.01381613966,17.18428993,520.736084,690,239,0,266,295,61,403,627,9,17,0,^7sal,^4^^0Sy^4l^0ar ^7@spec only
5 Seeker mpctf_kejim 2016-04-16_20-54-58.dm_26.dm_meta,1215167,0:17:50,63533,1360994,MOD_ROCKET,good,TRUE,0.5533333333,0.5833333333,0.3892557508,0.8474964138,0.9946126938,-0.2712939548,0.3236651212,0.4,2.24E-05,0.1216154352,64.43379974,0.09762696922,66.38574982,2011.689453,252,440,4,425,980,246,578,363,7,996,556,^1Seeker,^7maybeunspec
5 x mpctf_dosuun 2020-01-05_21-39-24.dm_26.dm_meta,1106638,0:16:40,107200,1322821,MOD_ROCKET,good,FALSE,0.5786666667,0.475,0.4322534394,0.7198736305,0.9356396198,-0.1070017456,0.3626719824,0.6,0.9999997659,0.8078300401,0,0,2.164055586,65.57744598,594,250,0,227,823,294,599,660,0,856,408,^7x,
6 easing rapod mpctf_telti 2016-04-19_19-29-21.dm_26.dm_meta,884738,0:12:00,165041,1220909,MOD_ROCKET,good,FALSE,0.2733333333,0.2866666667,0.230440943,0.2849720751,0.6471339464,-0.3863728816,0.2551112401,0,0.8426357387,0.2003606872,1.620622993,0.01227744669,9.154356003,277.4047241,407,77,206,208,1087,333,552,396,-5,1541,902,^7easing rapod,^7L^4S
6 most valuable ups member mpctf_carratos 2017-01-23_21-53-24.dm_26.dm_meta,1390075,0:19:20,230620,1446241,MOD_ROCKET,good,FALSE,0.5166666667,0.4966666667,0.4905396776,0.6504877049,0.9281654358,-0.1302191998,0.3912218289,0.8,1,0.5982400035,0.52734375,0.0159801133,49.98558807,1514.714844,586,414,0,470,435,152,594,396,55,675,401,^7most valuable ups member,^1~^4E^7S^1~^0Ninija
6 sal mpctf_belgaroth 2016-01-03_00-29-39.dm_26.dm_meta,243552,0:00:54,190356,1405977,MOD_BRYAR_PISTOL_ALT,good,FALSE,0.6933333333,0.68,0.5436622357,0.7006545684,0.8460786343,0.07409701813,0.5184700663,0.8,0.9999959733,0.9454006356,0,0,0,0,686,430,0,435,910,39,494,363,8,362,17,^7sal,^0*^3rS^0! G^3ra^0b^7
6 sal mpctf_sikurd 2016-01-02_23-25-22.dm_26.dm_meta,355385,0:02:11,224507,1440128,MOD_REPEATER_ALT,good,FALSE,0.7133333333,0.7066666667,0.4554876965,0.8608669091,0.8334036469,-0.06946688289,0.3783020305,0.6,0.8794412599,0.9939658644,11.47351742,0.03476823494,13.25003719,401.5162659,873,544,68,473,279,192,516,990,24,250,89,^7sal,^0ent
6 x mpctf_taspir 2015-10-31_17-13-01.dm_26.dm_meta,872202,0:04:59,573156,1788777,MOD_BRYAR_PISTOL_ALT,good,FALSE,0.6366666667,0.7333333333,0.6429308977,0.716887499,0.9043210745,0.2399087551,0.5600457204,0.4,0.999999985,0.9224397019,0,0,51.89000702,1572.424438,302,502,208,533,1146,19,744,165,30,1055,269,x,Padawan
7 60Hz strafer source mpctf_ilum 2018-09-02_15-46-27.dm_26.dm_meta,1848305,0:11:28,1160717,2515400,MOD_REPEATER,good,FALSE,,,,,,,,,,,0,0,30.14333153,913.4342651,194,577,139,513,742,193,620,132,-7,234,60,^760Hz strafer source,^0SkillOfLonelyOldWoman
7 base mpctf_kejim 2019-01-25_23-54-33.dm_26.dm_meta,3195938,0:09:32,2624180,3839801,MOD_REPEATER_ALT,good,FALSE,0.6433333333,0.5666666667,0.7171118627,0.7040553833,0.3726482689,0.2479367495,0.5335624711,0.4,1,0.9403473825,0,0,13.16464043,398.9284973,698,464,131,413,833,530,656,528,-3,635,382,^7base,^7L^3G SPEC
7 base mpctf_kejim 2019-01-25_23-54-33.dm_26.dm_meta,3789839,0:19:26,2624180,3839801,MOD_REPEATER,good,FALSE,,,,,,,,,,,36.26725388,0.2198015451,42.6533432,1292.525513,149,246,0,563,368,8,426,66,-6,22,0,^7base,^7L^3G SPEC
7 unstacker mpctf_kejim 2020-08-01_21-21-53.dm_26.dm_meta,444650,0:03:38,226685,1493060,MOD_ROCKET_SPLASH,good,TRUE,0.51,0.4266666667,0.320880266,0.7364468379,0.6385002732,-0.3361760571,0.2789827181,0.2,0.0002336918871,0.4742428397,0,0,6.311511993,191.2579346,262,513,37,413,1041,163,1028,,,835,77,^7unstacker,^7flor (not spex)
7 xpec mpctf_telti 2016-09-15_21-45-56.dm_26.dm_meta,685550,0:07:21,245099,1486823,MOD_ROCKET,good,FALSE,0.48,0.5666666667,0.2760770119,0.4909841944,0.6125005484,-0.3172717098,0.2783949293,0.8,0.9991986963,0.5938353905,0,0,5.990987301,181.5450745,271,290,274,315,1076,316,517,429,-29,345,43,^7xpec,^3-^7mitch buchannon^3-
9 easer mpctf_carratos 2017-06-13_21-55-03.dm_26.dm_meta,512205,0:06:04,148776,1266123,MOD_ROCKET,good,FALSE,0.5366666667,0.4733333333,0.4094538559,0.7357975151,0.7932605147,-0.1782591693,0.350272179,0.4,0.9999984625,0.5085162046,0,0,16.7387886,507.2360229,436,385,0,304,848,155,593,363,30,980,470,^7easer,^4>^7Tr^3u^7th
9 easing rapod mpctf_kejim 2015-11-07_21-27-03.dm_26.dm_meta,2268077,0:03:00,2137133,3304574,MOD_ROCKET,good,FALSE,0.47,0.56,0.4397869723,0.6345287756,0.8349579573,-0.122335961,0.3482470187,0.6,0.2211005524,0.6150426936,3.188993454,0.007433551364,22.6076088,685.0790405,328,334,266,374,1120,97,630,429,-11,354,41,easing rapod,Dan
9 enab (lightspeed) mpctf_ramodi 2019-08-11_21-26-50.dm_26.dm_meta,1340901,0:19:32,169335,1384956,MOD_ROCKET,good,FALSE,0.5566666667,0.5533333333,0.3759903049,0.6444248859,0.5300017595,-0.1988396484,0.3412457849,0.6,0.2638174381,0.8894470807,0.52734375,0.0159801133,15.42306137,467.365509,667,534,175,471,1016,186,583,1023,3,1141,251,^7enab (lightspeed),^7ent (words in brackets)
9 rlli XD mpctf_dantooine 2016-04-02_21-59-57.dm_26.dm_meta,1263875,0:17:26,218435,1434056,MOD_REPEATER,good,TRUE,,,,,,,,,,,15.48599339,0.4692725241,77.6550827,2353.184326,34,237,0,232,226,19,290,,,9,0,,^7Florentino Ariza
5 DanDanDanDanDanDan^ mpctf_telti 2015-11-07_02-27-43.dm_26.dm_meta,532463,0:07:14,98414,1314035,MOD_DISRUPTOR_SNIPER,bad,TRUE,0.3833333333,0.2666666667,0.4369019036,0.9096027083,0.003040632233,0.06443948165,0.1056684737,0.2,7.03E-91,1.70E-217,8.410121918,0.2548521757,177.3000793,5372.729492,481,0,0,135,0,0,93,,,0,0,^1Dan^3Dan^2Dan^5Dan^4Dan^6Dan^7Dan,enab
3 base mpctf_nelvaan 2019-04-25_21-16-19.dm_26.dm_meta,769605,0:04:43,487422,1703043,MOD_DISRUPTOR_SNIPER,bad,FALSE,0.02333333333,0.03,0.007862191023,0.001790326328,0.004072075244,-1.282919364,0.0804233829,0,1.28E-48,2.33E-100,5.578277588,0.169038713,9.170484543,277.8934631,343,0,0,0,432,0,416,,,21,0,^7base,^7fishfan
5  mpctf_kharzet 2019-04-03_19-04-45.dm_26.dm_meta,322220,0:03:00,142436,1685516,MOD_DISRUPTOR_SNIPER,bad,FALSE,0.05666666667,0.05,0.0002943668996,0.02626485413,0.07982025295,-2.062963308,0.05960344289,0.2,7.04E-90,0,12.89782333,0.130281046,20.59555054,624.107605,276,0,0,82,531,457,524,,,294,201,^7Padawan,^7unspec
10 Dan mpctf_kejim 2016-07-15_00-09-19.dm_26.dm_meta,1457123,0:15:30,527117,1776992,MOD_DISRUPTOR_SNIPER,bad,FALSE,0.1633333333,0.12,0.0009971163277,0.05028618754,0.3747152686,-1.833992224,0.05998367095,0,6.47E-68,0,21.89615822,0.05529332906,43.62796783,1322.059692,793,0,0,142,473,134,555,,,390,230,^7Dan,^0s^3pe^0c
