_source_file,time_raw,map_start_time_raw,map_end_time_raw,mod_name,consensus,extreme_99th,prob_rf,prob_et,prob_lr,prob_gb,human_time,attacker_name,target_name,mod_name,view_delta_deg,view_speed_deg_per_ms,view_best_delta_deg,view_best_speed_deg_per_sec,attacker_target_distance,attacker_xy_speed,attacker_z_speed,attacker_distance_last_second,target_xy_speed,target_z_speed,target_distance_last_second,missile_lifetime,missile_pitch,target_corpse_travel_distance,target_corpse_travel_z_distance
0515-awb is teh xD.dm_26.dm_meta,59908720,59750280,,MOD_REPEATER_ALT_SPLASH,bad,True,0.1,0.06,0.05442034828973012,0.020668981857208016,00:02:39.360,Rosh,,MOD_REPEATER_ALT_SPLASH,29.24289321899414,0.7310723066329956,53.30221939086914,1615.21875,89.0,701,293,620,310.0,76.0,252.0,,,84.0,11.0
0515-awb is teh xD.dm_26.dm_meta,59970760,59750280,,MOD_FLECHETTE_ALT_SPLASH,bad,False,0.19666666666666666,0.23666666666666666,0.11933843144283661,0.07022385289264349,00:03:41.400,Rosh,Rosh,MOD_FLECHETTE_ALT_SPLASH,0.0,0.0,55.283416748046875,1675.2550048828125,0.0,476,373,287,476.0,373.0,287.0,,,0.0,0.0
0515-awb is teh xD.dm_26.dm_meta,60041920,59750280,,MOD_ROCKET_SPLASH,bad,False,0.2733333333333333,0.37333333333333335,0.13775443639041268,0.18868210583120887,00:04:52.560,Rosh,THE RAT,MOD_ROCKET_SPLASH,0.1476016342639923,0.0036900409031659365,54.533756256103516,1652.5380859375,49.0,30,132,252,196.0,125.0,348.0,,,120.0,0.0
0515-awb is teh xD.dm_26.dm_meta,60150080,59750280,,MOD_ROCKET_SPLASH,bad,False,0.18666666666666668,0.22666666666666666,0.19200137646158877,0.14979968527446388,00:06:40.720,rosh,teh,MOD_ROCKET_SPLASH,0.2260221689939499,0.005650554317981005,83.4170913696289,2527.790771484375,497.0,354,0,434,276.0,302.0,253.0,,,1440.0,1400.0
0515-awb is teh xD.dm_26.dm_meta,60171760,59750280,,MOD_ROCKET_SPLASH,bad,False,0.24,0.2966666666666667,0.28124477630555444,0.1562593188512179,00:07:02.400,rosh,teh,MOD_ROCKET_SPLASH,1.0949186086654663,0.027372965589165688,76.71668243408203,2324.748046875,336.0,331,0,348,283.0,44.0,457.0,,,123.0,35.0
0515-awb is teh xD.dm_26.dm_meta,60175480,59750280,,MOD_ROCKET_SPLASH,bad,False,0.18666666666666668,0.22,0.12443997577009594,0.14938453923893355,00:07:06.120,rosh,evrae,MOD_ROCKET_SPLASH,0.0,0.0,39.930809020996094,1210.0245361328125,83.0,458,129,373,334.0,459.0,181.0,,,260.0,17.0
0515-awb is teh xD.dm_26.dm_meta,60262400,59750280,,MOD_TRIP_MINE_SPLASH,bad,True,,,,,00:08:33.040,rosh,,MOD_TRIP_MINE_SPLASH,81.63713073730469,2.040928363800049,81.63713073730469,2473.8525390625,3964.0,14,43,3835,295.0,31.0,238.0,,,199.0,5.0
0515-awb is teh xD.dm_26.dm_meta,60291360,59750280,,MOD_SABER,bad,False,,,,,00:09:02.000,rosh,,MOD_SABER,0.9503173828125,0.0237579345703125,2.098388671875,63.5875358581543,53.0,225,0,226,145.0,0.0,225.0,,,3.0,0.0
0515-awb is teh xD.dm_26.dm_meta,60313760,59750280,,MOD_TRIP_MINE_SPLASH,bad,False,,,,,00:09:24.400,rosh,,MOD_TRIP_MINE_SPLASH,5.307755470275879,0.13269388675689697,8.764253616333008,265.58343505859375,547.0,390,168,290,119.0,60.0,291.0,,,23.0,0.0
0515-awb is teh xD.dm_26.dm_meta,60321640,59750280,,MOD_TRIP_MINE_SPLASH,bad,False,,,,,00:09:32.280,rosh,,MOD_TRIP_MINE_SPLASH,1.5748529434204102,0.039371322840452194,60.787353515625,1842.041015625,165.0,264,0,201,459.0,121.0,411.0,,,179.0,0.0
