_source_file,time_raw,human_time,map_start_time_raw,map_end_time_raw,mod_name,consensus,extreme_99th,prob_rf,prob_et,prob_lr,prob_gb,prob_nb,human_time,attacker_name,target_name,mod_name,view_delta_deg,view_speed_deg_per_ms,view_best_delta_deg,view_best_speed_deg_per_sec,attacker_target_distance,attacker_xy_speed,attacker_z_speed,attacker_distance_last_second,target_xy_speed,target_z_speed,target_distance_last_second,missile_lifetime,missile_pitch,target_corpse_travel_distance,target_corpse_travel_z_distance
2020-08-10 dantooine 4v4 (3).dm_26.dm_meta,1286480,0:19:32,115376,1330139,MOD_BLASTER,bad,FALSE,,,,,,0:19:32,^3Xeno,^7X's Holy Kitten,MOD_BLASTER,0.1563381851,0.001579173608,1.025442958,31.07402992,38,53,0,415,111,6,430,,,1,0
2020-08-21 telti 4v4.dm_26.dm_meta,140130,0:00:51,90729,1669383,MOD_BLASTER,bad,FALSE,,,,,,0:00:51,^3Xen_Crypt,^7x,MOD_BLASTER,0,0,41.65738678,1262.345093,95,125,0,268,398,71,243,,,148,59
2020-09-01 dantooine 4v4.dm_26.dm_meta,1116926,0:15:35,143261,1398317,MOD_BLASTER,bad,FALSE,,,,,,0:15:35,^3Xen_Crypt,^7Padawan,MOD_BLASTER,1.014942884,0.03075584583,26.25421333,795.5822144,158,435,0,412,33,352,208,,,10,9
2020-11-24 ctf1 8v4.dm_26.dm_meta,446857,0:07:27,8782,1314031,MOD_BLASTER,bad,FALSE,,,,,,0:07:27,xenspec,Fio,MOD_BLASTER,5.597706795,0.006785098929,47.57437515,1441.647705,436,272,0,331,223,21,243,,,18,0
2021-04-13 ctf3 6v6.dm_26.dm_meta,98212,0:01:38,40891,1225855,MOD_BLASTER,bad,FALSE,,,,,,0:01:38,FUNPOLICE,kalel,MOD_BLASTER,30.92916679,0.03124158271,48.40768814,1466.899658,174,253,0,182,197,263,201,,,28,16
2021-04-13 ctf3 6v6.dm_26.dm_meta,312151,0:05:12,40891,1225855,MOD_BLASTER,bad,FALSE,,,,,,0:05:12,FUNPOLICE,Padawan,MOD_BLASTER,0.04943847656,0.001498135622,14.77365971,447.6866455,1049,161,0,173,99,3,0,,,1,0
2021-04-13 ctf3 6v6.dm_26.dm_meta,552028,0:09:12,40891,1225855,MOD_BLASTER,bad,FALSE,,,,,,0:09:12,FUNPOLICE,Padawan,MOD_BLASTER,0,0,3.685204983,111.6728821,726,232,0,228,69,2,46,,,0,0
2020-02-21 salliche 4v0.dm_26.dm_meta,1577284,0:01:14,1508710,2442544,MOD_BOWCASTER,good,FALSE,,,,,0.5959972749,0:01:14,^3Xen_Crypt,^5ski,MOD_BOWCASTER,5.089510441,0.02203251235,25.10547447,760.7719727,286,114,0,181,412,402,290,165,-1,42,19
2017-12-27 ctf4 4v4.dm_26.dm_meta,716834,0:07:35,262028,1477418,MOD_DISRUPTOR,good,FALSE,,,,,0.9934943594,0:07:35,^3Xen_Crypt,^5^^0ma^7th,MOD_DISRUPTOR,0,0,1.764879346,53.48119354,642,704,212,661,630,319,522,,,67,10
2018-01-01 ctf4 2v2.dm_26.dm_meta,132384948,0:11:34,131989080,,MOD_DISRUPTOR,good,FALSE,,,,,0.9554657305,0:11:34,^3Xen_Crypt,^1SkZ,MOD_DISRUPTOR,0.2856445313,0.008655894548,1.575619102,47.74603271,1046,473,184,552,413,296,473,,,469,128
