_source_file,time_raw,human_time,map_start_time_raw,map_end_time_raw,mod_name,consensus,extreme_99th,prob_rf,prob_et,prob_lr,prob_gb,human_time,attacker_name,target_name,mod_name,view_delta_deg,view_speed_deg_per_ms,view_best_delta_deg,view_best_speed_deg_per_sec,attacker_target_distance,attacker_xy_speed,attacker_z_speed,attacker_distance_last_second,target_xy_speed,target_z_speed,target_distance_last_second,missile_lifetime,missile_pitch,target_corpse_travel_distance,target_corpse_travel_z_distance
2020-02-21 salliche 4v4.dm_26.dm_meta,1213752,0:15:27,288300,1502700,MOD_DISRUPTOR_SNIPER,good,FALSE,0.6533333333,0.5233333333,0.547218751,0.9982255837,0:15:27,^3Xen_Crypt,^5ski,MOD_DISRUPTOR_SNIPER,0,0,6.06321907,183.7339172,546,0,0,155,548,227,544,,,494,305
2020-02-23 telti 4v4.dm_26.dm_meta,917606,0:12:49,150686,1364624,MOD_DISRUPTOR_SNIPER,good,FALSE,0.6333333333,0.5566666667,0.7068964644,0.9845383558,0:12:49,^3Xen_Crypt,^7CSMA/CD,MOD_DISRUPTOR_SNIPER,0,0,14.16464996,429.2318115,698,0,0,456,793,402,766,,,68,4
2020-02-28 kejim 4v4.dm_26.dm_meta,6733538,0:12:40,5978696,7110464,MOD_DISRUPTOR_SNIPER,good,FALSE,0.6633333333,0.7333333333,0.8561305745,0.9722667638,0:12:40,^3Xen_Crypt,^5THE EVERRAPING,MOD_DISRUPTOR_SNIPER,0,0,33.42157364,1012.774963,1003,0,0,0,144,359,630,,,617,562
2020-03-28 manaan 4v4.dm_26.dm_meta,1249194,0:18:42,128811,,MOD_DISRUPTOR_SNIPER,good,FALSE,0.59,0.6833333333,0.9999724473,0.9891734232,0:18:42,^3Xen_Crypt,^7Isaac Lobo,MOD_DISRUPTOR_SNIPER,0,0,2.011143446,60.94374084,442,80,651,666,250,439,332,,,83,70
2020-04-03 tanaab 8v8.dm_26.dm_meta,483726,0:02:52,312720,1527681,MOD_DISRUPTOR_SNIPER,good,FALSE,0.5766666667,0.5866666667,0.7566292515,0.9917915856,0:02:52,^3Xen_Crypt,^4^^0full^7meta^4l,MOD_DISRUPTOR_SNIPER,0,0,5.664861202,171.6624603,1236,0,0,279,0,0,551,,,591,591
2020-04-05 ctf4 4v4.dm_26.dm_meta,3055680,0:10:34,2427657,3247377,MOD_DISRUPTOR_SNIPER,good,FALSE,0.87,0.7566666667,0.9506455461,0.9974595479,0:10:34,^3Xen_Crypt,^2alemao,MOD_DISRUPTOR_SNIPER,3.909114838,0.01974300481,32.70627594,991.0993042,637,18,217,143,337,213,375,,,575,483
2020-04-07 kharzet 4v3.dm_26.dm_meta,1171281,0:09:02,630246,,MOD_DISRUPTOR,good,FALSE,0.8166666667,0.8866666667,1,0.9999755344,0:09:02,^3Xen_Crypt,^7ariza,MOD_DISRUPTOR,0,0,0.9680600762,29.33515358,1014,820,4,861,931,292,937,,,79,19
2020-04-10 nelvaan 3v3.dm_26.dm_meta,489200,0:07:14,56900,,MOD_DISRUPTOR_SNIPER,good,FALSE,0.8266666667,0.61,0.8195756965,0.9944754676,0:07:14,^3Xen_Crypt,^7jaw^2four,MOD_DISRUPTOR_SNIPER,1.888122916,0.01430396177,29.33542252,888.9522095,650,432,311,457,428,0,393,,,20,0
2020-04-11 aeten 2v2.dm_26.dm_meta,2032577,0:06:31,1642583,2287700,MOD_DISRUPTOR_SNIPER,good,FALSE,0.7166666667,0.66,0.9727447359,0.9808054828,0:06:31,^3Xen_Crypt,^7krig@spec,MOD_DISRUPTOR_SNIPER,0.5554618239,0.0168321766,2.871916294,87.02776337,923,0,295,196,133,0,82,,,3,0
2020-04-11 kejim 4v4 2046.dm_26.dm_meta,272819,0:03:07,87029,1524212,MOD_DISRUPTOR_SNIPER,good,FALSE,0.7066666667,0.5333333333,0.662828009,0.9950959381,0:03:07,^3Xen_Crypt,^7therealRaul,MOD_DISRUPTOR_SNIPER,0,0,4.237277508,128.4023438,684,423,229,476,765,77,719,,,332,72
