_source_file,time_raw,human_time,map_start_time_raw,map_end_time_raw,mod_name,consensus,status_source,extreme_99th,prob_rf,prob_et,prob_lr,prob_gb,prob_xgb,prob_lsvc,prob_csvc,prob_knn,prob_mlp,prob_gnb,prob_nb,view_delta_deg,view_speed_deg_per_ms,view_best_delta_deg,view_best_speed_deg_per_sec,attacker_target_distance,attacker_xy_speed,attacker_z_speed,attacker_distance_last_second,target_xy_speed,target_z_speed,target_distance_last_second,missile_lifetime,missile_pitch,target_corpse_travel_distance,target_corpse_travel_z_distance,attacker_name,target_name
13 Xen_Crypt mpctf_kothis 2017-06-17_23-54-00.dm_26.dm_meta,1033106,0:14:22,171542,2470190,MOD_BRYAR_PISTOL_ALT,good,ml,TRUE,0.64,0.6233333333,0.8665803295,0.9321743028,0.9853954315,0.6691540917,0.4847832314,0.2,1.39E-06,0.6356349864,,0,0,40.46916199,1226.338257,600,218,0,503,408,1065,723,297,50,416,125,^3Xen_Crypt,^7ariza
13 Xen_Crypt mpctf_krildor 2021-11-16_04-21-48.dm_26.dm_meta,427325,0:04:03,184643,1400264,MOD_ROCKET,good,ml,FALSE,0.4316666667,0.45,0.5465399644,0.3267523636,0.1839714199,0.01179168679,0.3918061618,0.4,0.9608847901,0.7841241712,,0.3185088038,0.001608630293,1.11840868,33.8911705,705,344,0,337,819,399,509,594,11,433,118,^3Xen_Crypt,^7r^4d^7l
15 Xen_Crypt mpctf_kejim 2017-01-22_23-56-25.dm_26.dm_meta,732051,0:10:14,118977,1334598,MOD_REPEATER_ALT_SPLASH,good,ml,FALSE,0.6566666667,0.6166666667,0.6107531253,0.8197102521,0.9710015059,0.146372147,0.4844061466,0.4,0.1038237479,0.9861976312,,0,0,0,0,1333,261,0,389,533,163,481,,,398,67,^3Xen_Crypt,^7schizo
16 Xen_Cryptpl mpctf4 2016-04-03_17-37-25.dm_26.dm_meta,1221107,0:16:35,226619,1442240,MOD_BRYAR_PISTOL_ALT,good,ml,FALSE,0.42,0.4433333333,0.1783188923,0.654626692,0.1119719148,-0.5936872569,0.514392781,0.8,1,0.6744854556,,0,0,2.455542564,74.4103775,576,97,0,684,231,145,227,330,-20,606,606,^3Xen_Crypt.pl,^0Bourbon
2  mpctf_talravin 2020-08-05_00-50-05.dm_26.dm_meta,978821,0:12:38,221570,1437191,MOD_ROCKET,good,pre_good,FALSE,,,,,,,,,,,,11.79510307,0.05106105283,11.79510307,357.4273682,929,61,776,592,839,63,433,924,7,411,253,^7???,^7algae
2 krieg mpctf4 2023-03-29_22-05-02.dm_26.dm_meta,1198337,0:14:57,301529,1516160,MOD_THERMAL,good,pre_good,TRUE,,,,,,,,,,,,0,0,0.7328177094,22.20659828,585,665,893,845,1110,122,742,660,20,624,44,^7krieg,^1j^7awa
2 xenoonly mpctf_kejim 2021-12-17_01-35-33.dm_26.dm_meta,1445709,0:14:12,593715,1809336,MOD_BRYAR_PISTOL_ALT,good,ml,FALSE,0.5933333333,0.6233333333,0.576833169,0.9303078172,0.8535305262,0.1315639635,0.4724477148,0.6,1,0.8680771651,,4.957044125,0.02503557689,25.68279839,778.2666016,602,313,0,706,443,396,547,264,-2,630,462,^0xen^6o^0only,^0Fl^6y^0nn
2 Xen_Crypt ctf_metalorn_v2 2024-03-29_21-46-22.dm_26.dm_meta,380498,0:01:49,272027,1486658,MOD_THERMAL,good,pre_good,FALSE,,,,,,,,,,,,0,0,32.01521301,970.157959,409,224,0,594,1054,942,662,396,-20,252,24,^3Xen_Crypt,^7L^4S
2 Xen_Crypt mpctf4 2024-09-01_21-38-14.dm_26.dm_meta,1092242,0:14:46,206390,1421021,MOD_BRYAR_PISTOL_ALT,good,ml,FALSE,0.63,0.5966666667,0.4286860819,0.7674352173,0.865442872,-0.110825928,0.4926784058,0.6,0.9999994384,0.9693032382,,0,0,6.413760185,194.356369,582,554,86,627,940,134,578,594,1,679,78,^3Xen_Crypt,^7ez
2 Xen_Crypt mpctf_barkhesh 2025-03-02_16-55-16.dm_26.dm_meta,485075,0:07:36,30005,1237640,MOD_BRYAR_PISTOL_ALT,good,ml,FALSE,0.7866666667,0.6633333333,0.648203933,0.9564165329,0.9953055978,0.2394870636,0.4810252542,0.4,0.9976689463,0.9793450681,,1.137416601,0.01723358408,10.76335144,326.1621704,677,703,6,713,1230,42,878,693,0,518,40,^3Xen_Crypt,^7Padawan
2 Xen_Crypt mpctf_kejim 2016-04-30_00-35-48.dm_26.dm_meta,3093122,0:06:04,2729627,4033160,MOD_BRYAR_PISTOL_ALT,good,ml,FALSE,0.6066666667,0.69,0.3071814451,0.7155395041,0.8789384365,-0.2976594164,0.4948514323,0.8,0.9999994749,0.9183376511,,0,0,0.1066579521,3.23205924,590,493,0,462,624,9,463,462,-1,38,0,^3Xen_Crypt,^3Xen_Picked
2 Xen_Crypt mpctf_kejim 2020-03-26_02-32-50.dm_26.dm_meta,778020,0:11:24,94656,1310277,MOD_BRYAR_PISTOL_ALT,good,ml,FALSE,0.6466666667,0.6033333333,0.6487372624,0.9030615088,0.8945593834,0.267970257,0.5485964865,0.4,1,0.9419265943,,0,0,0,0,1117,0,0,533,360,1,571,726,14,109,23,^3Xen_Crypt,^0C^8y^7donis
2 Xen_Crypt mpctf_kejim 2023-09-29_21-36-01.dm_26.dm_meta,1482368,0:17:49,347894,1708385,MOD_ROCKET,good,pre_good,FALSE,,,,,,,,,,,,0,0,35.81902313,1085.424927,222,470,26,270,308,479,448,231,73,1005,750,^3Xen_Crypt,^7lg
2 Xen_Crypt mpctf_kejim 2023-10-01_20-59-41.dm_26.dm_meta,1183256,0:14:54,255263,1575890,MOD_THERMAL,good,pre_good,FALSE,,,,,,,,,,,,0,0,3.228003979,97.81830597,414,445,202,612,1013,297,620,561,30,203,45,^3Xen_Crypt,^7spectator
2 Xen_Crypt mpctf_kejim 2024-06-20_19-26-15.dm_26.dm_meta,336480,0:01:59,218142,1432773,MOD_REPEATER_ALT_SPLASH,good,ml,FALSE,0.35,0.37,0.5664935351,0.5451295638,0.004528491758,0.06195883211,0.4339822385,0.4,0.2652791273,0.8957659408,,5.872418404,0.05931735784,15.48560524,469.2607727,999,337,60,310,356,583,639,,,78,61,^3Xen_Crypt,^7jaw^14
2 Xen_Crypt mpctf_kejim 2025-03-02_17-35-28.dm_26.dm_meta,569258,0:04:19,73532,1525400,MOD_ROCKET,good,ml,FALSE,0.1,0.1933333333,0.2029430343,0.1047886724,0.0701957792,-0.5628518465,0.197597399,0.4,1.57E-08,0.527697414,,0,0,23.86136627,723.0717163,48,454,174,598,1055,341,501,132,31,818,177,^3Xen_Crypt,^6*^7Bombshell^6*
3 Demon1 mpctf_talay 2023-08-27_23-00-35.dm_26.dm_meta,520154,0:06:49,111878,1326509,MOD_ROCKET,good,ml,TRUE,0.09333333333,0.15,0.03034146011,0.07424438416,0.002532837214,-1.238159338,0.09048285258,0.4,6.32E-80,0.6798909483,,0,0,40.49245453,1227.044067,40,442,1117,1158,841,168,583,33,-28,212,40,^1Demon1,^7DestroyerMan99
3 Xen_Crypt ctf_dantooine_v3 2024-06-02_23-57-19.dm_26.dm_meta,1090064,0:15:20,170849,1385447,MOD_BRYAR_PISTOL_ALT,good,ml,FALSE,0.67,0.62,0.5734394928,0.8150892676,0.9775727987,0.1212533652,0.4442321106,0.6,0.9999995266,0.9553329835,,4.248915195,0.04291833565,12.32831764,373.5853882,545,803,74,724,1018,279,586,561,0,927,33,^3Xen_Crypt,^7lg
3 Xen_Crypt ctf_dantooine_v3 2025-02-14_23-16-14.dm_26.dm_meta,161147,0:01:51,50630,1336409,MOD_REPEATER_ALT_SPLASH,good,ml,FALSE,0.54,0.5166666667,0.5376165488,0.7249032864,0.733682394,0.02330943626,0.4165670216,0.4,1,0.8210670512,,3.630561829,0.110017024,12.89665794,390.8078308,919,483,279,336,860,304,785,,,1023,239,^3Xen_Crypt,^7flor
3 Xen_Crypt ctf_ziost_v4 2023-10-13_23-47-38.dm_26.dm_meta,95939,0:00:53,43601,1329875,MOD_BRYAR_PISTOL_ALT,good,ml,FALSE,0.5966666667,0.49,0.509913813,0.7210306416,0.8072434068,0.04809175363,0.462855396,0.8,0.9875075105,0.9636042592,,3.458530188,0.01746732369,16.52692986,500.8160706,404,768,224,696,852,217,749,462,-3,693,44,^3Xen_Crypt,^1j^7awa
3 Xen_Crypt mpctf_kejim 2015-12-28_02-32-18.dm_26.dm_meta,209425,0:00:42,167925,1383500,MOD_BRYAR_PISTOL_ALT,good,ml,FALSE,0.7466666667,0.71,0.5541765508,0.9216162339,0.9548534155,0.08303808767,0.4724320452,0.6,1,0.9809213614,,2.352645874,0.01045620348,4.198894024,127.239212,635,770,14,769,1182,118,738,700,-1,611,74,^3Xen_Crypt,^6S^0olid ^6S^0nake
3 Xen_Crypt mpctf_kejim 2021-11-21_01-23-57.dm_26.dm_meta,601037,0:06:15,226652,1442273,MOD_BRYAR_PISTOL_ALT,good,pre_good,FALSE,,,,,,,,,,,,0,0,39.57418442,1199.217773,311,199,425,641,717,19,463,198,29,436,136,^3Xen_Crypt,^7Padawan
